Date,Year,Month,Quarter,Site_ID,Lab_ID,Region,Site_Type,Adoption_Date,Post_Adoption,Months_Since_Adoption,Assay_Menu,Communication_Intensity,Cr_Volume,Cys_Volume,CrCys_Volume,Total_Test_Volume,Cr_Price,Cys_Price,CrCys_Price,Cr_Revenue,Cys_Revenue,CrCys_Revenue,Total_Revenue,Lives_Covered,Total_Patients,Reclassified_Patients,Reclassification_Rate,CKD_Patients,G1_Patients,G2_Patients,G3a_Patients,G3b_Patients,G4_Patients,G5_Patients,CKD_Prevalence,Nephrology_Referrals,Dialysis_Initiations,Trial_Enrollment,Eligibility_Shift_Pct,Renally_Adjusted_Rx,Nephroprotective_Rx
2021-01-01,2021,1,Q1,SITE0017,LAB048,Southwest,Hospital,2023-01-01,0,,Cr,1,522,0,0,522,8.5,22.36,33.61,4435.26,0.0,0.0,4435.26,44764,6714,0,0.0,2484,2349,1879,1477,537,335,134,0.37,372,29,0,0.0,993,621
2021-01-01,2021,1,Q1,SITE0018,LAB012,Midwest,Reference Lab,,0,,CrCys,1,530,93,0,623,8.42,30.15,32.12,4463.34,2803.64,0.0,7266.98,17173,2575,0,0.0,952,901,721,566,206,128,51,0.37,142,11,0,0.0,380,238
2021-01-01,2021,1,Q1,SITE0019,LAB022,Southwest,Reference Lab,2022-01-01,0,,CrCys,1,481,95,0,576,8.6,24.71,31.93,4136.14,2347.57,0.0,6483.71,42441,6366,0,0.0,2355,2228,1782,1400,509,318,127,0.37,353,28,0,0.0,942,588
2021-01-01,2021,1,Q1,SITE0020,LAB022,Southwest,Hospital,2022-01-01,0,,CrCys,1,529,114,0,643,8.23,19.7,34.18,4352.76,2245.58,0.0,6598.34,31698,4754,0,0.0,1758,1663,1331,1045,380,237,95,0.37,263,21,0,0.0,703,439
2021-01-01,2021,1,Q1,SITE0021,LAB046,Northeast,Hospital,2024-11-01,0,,CrCys,3,529,127,0,656,8.64,24.49,33.67,4573.16,3110.28,0.0,7683.44,20781,3117,0,0.0,1153,1090,872,685,249,155,62,0.37,172,13,0,0.0,461,288
2021-01-01,2021,1,Q1,SITE0022,LAB030,West,Hospital,2024-09-01,0,,CrCys,1,540,96,0,636,7.84,23.95,32.98,4231.83,2299.29,0.0,6531.13,18051,2707,0,0.0,1001,947,757,595,216,135,54,0.37,150,12,0,0.0,400,250
2021-01-01,2021,1,Q1,SITE0023,LAB038,Southwest,Hospital,,0,,Cys,1,506,117,0,623,8.91,23.12,35.29,4506.91,2704.94,0.0,7211.85,44649,6697,0,0.0,2477,2343,1875,1473,535,334,133,0.37,371,29,0,0.0,990,619
2021-01-01,2021,1,Q1,SITE0024,LAB038,Southwest,Hospital,,0,,Cys,1,511,95,0,606,8.0,25.65,29.5,4086.19,2436.97,0.0,6523.15,11949,1792,0,0.0,663,627,501,394,143,89,35,0.37,99,7,0,0.0,265,165
2021-01-01,2021,1,Q1,SITE0025,LAB045,Southeast,Clinic,2023-03-01,0,,Cys,4,558,101,0,659,7.88,23.37,33.51,4396.62,2360.11,0.0,6756.73,47289,7093,0,0.0,2624,2482,1986,1560,567,354,141,0.37,393,31,0,0.0,1049,656
2021-01-01,2021,1,Q1,SITE0026,LAB008,Midwest,Hospital,2022-11-01,0,,CrCys,5,519,103,0,622,7.79,26.94,31.94,4044.82,2775.2,0.0,6820.02,13017,1952,0,0.0,722,683,546,429,156,97,39,0.37,108,8,2,0.0,288,180
2021-01-01,2021,1,Q1,SITE0027,LAB027,Midwest,Hospital,2024-03-01,0,,CrCys,3,528,106,0,634,8.19,24.16,28.74,4323.57,2561.35,0.0,6884.92,11941,1791,0,0.0,662,626,501,394,143,89,35,0.37,99,7,0,0.0,264,165
2021-01-01,2021,1,Q1,SITE0028,LAB027,Midwest,Reference Lab,2024-03-01,0,,CrCys,3,535,95,0,630,8.78,25.51,33.97,4695.12,2423.65,0.0,7118.77,30934,4640,0,0.0,1716,1624,1299,1020,371,232,92,0.37,257,20,0,0.0,686,429
2021-01-01,2021,1,Q1,SITE0029,LAB034,Northeast,Hospital,2023-07-01,0,,Cr,2,532,0,0,532,7.58,22.44,30.75,4032.33,0.0,0.0,4032.33,28386,4257,0,0.0,1575,1489,1191,936,340,212,85,0.37,236,18,0,0.0,630,393
2021-01-01,2021,1,Q1,SITE0030,LAB021,Southeast,Reference Lab,,0,,Cr,1,542,0,0,542,8.51,22.13,33.16,4614.07,0.0,0.0,4614.07,15209,2281,0,0.0,843,798,638,501,182,114,45,0.37,126,10,0,0.0,337,210
2021-01-01,2021,1,Q1,SITE0031,LAB030,West,Hospital,2024-09-01,0,,CrCys,1,518,99,0,617,9.17,23.23,36.16,4750.4,2300.01,0.0,7050.41,22715,3407,0,0.0,1260,1192,953,749,272,170,68,0.37,189,15,2,0.0,504,315
2021-01-01,2021,1,Q1,SITE0032,LAB033,West,Hospital,2021-08-01,0,,Cr,1,508,0,0,508,8.35,24.99,30.68,4240.64,0.0,0.0,4240.64,33920,5088,0,0.0,1882,1780,1424,1119,407,254,101,0.37,282,22,0,0.0,752,470
2021-01-01,2021,1,Q1,SITE0033,LAB028,Southeast,Clinic,,0,,Cr,1,514,0,0,514,8.48,28.54,30.75,4360.01,0.0,0.0,4360.01,36703,5505,0,0.0,2036,1926,1541,1211,440,275,110,0.37,305,24,0,0.0,814,509
2021-01-01,2021,1,Q1,SITE0034,LAB047,Southeast,Clinic,2021-11-01,0,,CrCys,3,507,115,0,622,9.41,26.24,28.86,4768.96,3018.02,0.0,7786.97,47318,7097,0,0.0,2625,2483,1987,1561,567,354,141,0.37,393,31,0,0.0,1050,656
2021-01-01,2021,1,Q1,SITE0035,LAB033,West,Reference Lab,2021-08-01,0,,Cr,1,516,0,0,516,8.46,26.24,32.36,4366.8,0.0,0.0,4366.8,9637,1445,0,0.0,534,505,404,317,115,72,28,0.37,80,6,0,0.0,213,133
2021-01-01,2021,1,Q1,SITE0036,LAB005,Southwest,Clinic,2021-09-01,0,,Cr,3,555,0,0,555,7.83,26.12,34.16,4346.94,0.0,0.0,4346.94,9854,1478,0,0.0,546,517,413,325,118,73,29,0.37,81,6,0,0.0,218,136
2021-01-01,2021,1,Q1,SITE0037,LAB048,Southwest,Reference Lab,2023-01-01,0,,Cr,1,538,0,0,538,8.46,21.68,32.86,4554.13,0.0,0.0,4554.13,48088,7213,0,0.0,2668,2524,2019,1586,577,360,144,0.37,400,32,0,0.0,1067,667
2021-01-01,2021,1,Q1,SITE0038,LAB019,Northeast,Hospital,2021-06-01,0,,CrCys,1,501,122,0,623,8.6,22.84,34.11,4310.53,2786.22,0.0,7096.75,42660,6399,0,0.0,2367,2239,1791,1407,511,319,127,0.37,355,28,7,0.0,946,591
2021-01-01,2021,1,Q1,SITE0039,LAB004,Southwest,Hospital,2024-05-01,0,,CrCys,1,531,112,0,643,7.98,27.56,32.83,4236.72,3086.26,0.0,7322.98,44811,6721,0,0.0,2486,2352,1881,1478,537,336,134,0.37,372,29,5,0.0,994,621
2021-01-01,2021,1,Q1,SITE0040,LAB035,Midwest,Clinic,2022-07-01,0,,CrCys,2,555,119,0,674,7.54,23.97,34.82,4182.01,2851.89,0.0,7033.9,24856,3728,0,0.0,1379,1304,1043,820,298,186,74,0.37,206,16,0,0.0,551,344
2021-01-01,2021,1,Q1,SITE0041,LAB049,Southeast,Reference Lab,2022-04-01,0,,Cys,5,524,103,0,627,8.28,27.91,31.16,4337.28,2874.4,0.0,7211.68,26833,4024,0,0.0,1488,1408,1126,885,321,201,80,0.37,223,17,0,0.0,595,372
2021-01-01,2021,1,Q1,SITE0042,LAB017,West,Reference Lab,2021-06-01,0,,CrCys,4,515,99,0,614,8.36,24.93,32.47,4304.94,2468.13,0.0,6773.07,24963,3744,0,0.0,1385,1310,1048,823,299,187,74,0.37,207,16,0,0.0,554,346
2021-01-01,2021,1,Q1,SITE0043,LAB044,Southeast,Clinic,2021-12-01,0,,CrCys,2,517,127,0,644,8.99,24.57,29.75,4648.95,3120.65,0.0,7769.59,41932,6289,0,0.0,2326,2201,1760,1383,503,314,125,0.37,348,27,0,0.0,930,581
2021-01-01,2021,1,Q1,SITE0044,LAB028,Southeast,Hospital,,0,,Cr,1,573,0,0,573,8.69,25.58,36.91,4980.06,0.0,0.0,4980.06,32169,4825,0,0.0,1785,1688,1351,1061,386,241,96,0.37,267,21,0,0.0,714,446
2021-01-01,2021,1,Q1,SITE0045,LAB030,West,Clinic,2024-09-01,0,,CrCys,1,501,100,0,601,8.78,23.75,31.25,4397.62,2375.43,0.0,6773.05,12941,1941,0,0.0,718,679,543,427,155,97,38,0.37,107,8,0,0.0,287,179
2021-01-01,2021,1,Q1,SITE0046,LAB029,West,Hospital,2023-05-01,0,,CrCys,5,543,93,0,636,7.91,23.59,30.59,4296.88,2193.83,0.0,6490.71,19388,2908,0,0.0,1075,1017,814,639,232,145,58,0.37,161,12,0,0.0,430,268
2021-01-01,2021,1,Q1,SITE0047,LAB046,Northeast,Reference Lab,2024-11-01,0,,CrCys,3,531,118,0,649,8.19,24.22,33.32,4350.8,2858.5,0.0,7209.31,10569,1585,0,0.0,586,554,443,348,126,79,31,0.37,87,6,0,0.0,234,146
2021-01-01,2021,1,Q1,SITE0048,LAB006,Southeast,Reference Lab,2021-11-01,0,,CrCys,1,487,101,0,588,9.51,24.93,35.59,4628.98,2518.31,0.0,7147.29,9300,1395,0,0.0,516,488,390,306,111,69,27,0.37,77,6,0,0.0,206,129
2021-01-01,2021,1,Q1,SITE0049,LAB035,Midwest,Clinic,2022-07-01,0,,CrCys,2,486,117,0,603,8.24,25.45,37.05,4005.22,2977.37,0.0,6982.59,44037,6605,0,0.0,2443,2311,1849,1453,528,330,132,0.37,366,29,0,0.0,977,610
2021-01-01,2021,1,Q1,SITE0050,LAB041,West,Clinic,2024-06-01,0,,CrCys,2,549,110,0,659,8.23,26.17,31.28,4520.78,2878.46,0.0,7399.24,41586,6237,0,0.0,2307,2182,1746,1372,498,311,124,0.37,346,27,0,0.0,922,576
2021-01-01,2021,1,Q1,SITE0051,LAB037,Midwest,Clinic,2023-07-01,0,,CrCys,5,547,111,0,658,8.91,26.01,34.76,4873.9,2887.61,0.0,7761.52,17015,2552,0,0.0,944,893,714,561,204,127,51,0.37,141,11,0,0.0,377,236
2021-01-01,2021,1,Q1,SITE0052,LAB024,Northeast,Hospital,2024-11-01,0,,Cr,4,499,0,0,499,8.82,24.67,32.29,4403.35,0.0,0.0,4403.35,11254,1688,0,0.0,624,590,472,371,135,84,33,0.37,93,7,0,0.0,249,156
2021-01-01,2021,1,Q1,SITE0053,LAB029,West,Reference Lab,2023-05-01,0,,CrCys,5,542,105,0,647,8.71,25.8,33.64,4720.35,2709.09,0.0,7429.43,22144,3321,0,0.0,1228,1162,929,730,265,166,66,0.37,184,14,0,0.0,491,307
2021-01-01,2021,1,Q1,SITE0054,LAB049,Southeast,Clinic,2022-04-01,0,,Cys,5,508,106,0,614,7.76,25.53,31.2,3939.69,2706.52,0.0,6646.21,29214,4382,0,0.0,1621,1533,1226,964,350,219,87,0.37,243,19,0,0.0,648,405
2021-01-01,2021,1,Q1,SITE0055,LAB046,Northeast,Reference Lab,2024-11-01,0,,CrCys,3,528,124,0,652,9.1,22.12,32.35,4807.17,2742.51,0.0,7549.68,45118,6767,0,0.0,2503,2368,1894,1488,541,338,135,0.37,375,30,0,0.0,1001,625
2021-01-01,2021,1,Q1,SITE0056,LAB031,Midwest,Hospital,2024-04-01,0,,CrCys,1,482,111,0,593,8.7,21.38,33.93,4195.45,2373.19,0.0,6568.64,20183,3027,0,0.0,1119,1059,847,665,242,151,60,0.37,167,13,0,0.0,447,279
2021-01-01,2021,1,Q1,SITE0057,LAB035,Midwest,Reference Lab,2022-07-01,0,,CrCys,2,542,111,0,653,9.28,24.87,29.1,5031.26,2760.4,0.0,7791.66,11238,1685,0,0.0,623,589,471,370,134,84,33,0.37,93,7,0,0.0,249,155
2021-01-01,2021,1,Q1,SITE0058,LAB033,West,Hospital,2021-08-01,0,,Cr,1,499,0,0,499,7.4,22.96,33.42,3692.9,0.0,0.0,3692.9,11090,1663,0,0.0,615,582,465,365,133,83,33,0.37,92,7,0,0.0,246,153
2021-01-01,2021,1,Q1,SITE0059,LAB021,Southeast,Hospital,,0,,Cr,1,537,0,0,537,8.39,22.71,31.77,4504.78,0.0,0.0,4504.78,16637,2495,0,0.0,923,873,698,548,199,124,49,0.37,138,11,0,0.0,369,230
2021-01-01,2021,1,Q1,SITE0060,LAB032,West,Reference Lab,2024-06-01,0,,CrCys,3,518,120,0,638,8.82,22.5,34.89,4567.02,2699.63,0.0,7266.65,27415,4112,0,0.0,1521,1439,1151,904,328,205,82,0.37,228,18,0,0.0,608,380
2021-01-01,2021,1,Q1,SITE0061,LAB023,West,Hospital,2024-02-01,0,,CrCys,2,554,113,0,667,8.67,25.91,32.39,4803.93,2928.23,0.0,7732.16,29071,4360,0,0.0,1613,1526,1220,959,348,218,87,0.37,241,19,3,0.0,645,403
2021-01-01,2021,1,Q1,SITE0062,LAB033,West,Hospital,2021-08-01,0,,Cr,1,520,0,0,520,8.85,23.52,31.97,4604.34,0.0,0.0,4604.34,47679,7151,0,0.0,2645,2502,2002,1573,572,357,143,0.37,396,31,0,0.0,1058,661
2021-01-01,2021,1,Q1,SITE0063,LAB003,Midwest,Reference Lab,,0,,CrCys,1,509,102,0,611,8.28,21.22,28.83,4212.95,2164.53,0.0,6377.48,46240,6936,0,0.0,2566,2427,1942,1525,554,346,138,0.37,384,30,0,0.0,1026,641
2021-01-01,2021,1,Q1,SITE0064,LAB018,Southwest,Reference Lab,,0,,CrCys,3,538,114,0,652,8.88,23.07,31.9,4777.55,2629.53,0.0,7407.08,23271,3490,0,0.0,1291,1221,977,767,279,174,69,0.37,193,15,0,0.0,516,322
2021-01-01,2021,1,Q1,SITE0065,LAB025,Northeast,Clinic,2024-10-01,0,,Cr,4,497,0,0,497,9.25,26.75,31.56,4598.09,0.0,0.0,4598.09,41034,6155,0,0.0,2277,2154,1723,1354,492,307,123,0.37,341,27,0,0.0,910,569
2021-01-01,2021,1,Q1,SITE0066,LAB042,Northeast,Clinic,2022-08-01,0,,CrCys,5,513,88,0,601,8.51,23.0,31.44,4367.4,2023.71,0.0,6391.11,38434,5765,0,0.0,2133,2017,1614,1268,461,288,115,0.37,319,25,0,0.0,853,533
2021-01-01,2021,1,Q1,SITE0067,LAB031,Midwest,Clinic,2024-04-01,0,,CrCys,1,529,94,0,623,8.21,26.15,34.8,4345.42,2457.65,0.0,6803.07,9188,1378,0,0.0,509,482,385,303,110,68,27,0.37,76,6,0,0.0,203,127
2021-01-01,2021,1,Q1,SITE0068,LAB003,Midwest,Hospital,,0,,CrCys,1,474,111,0,585,8.96,26.79,33.27,4248.14,2973.73,0.0,7221.87,15161,2274,0,0.0,841,795,636,500,181,113,45,0.37,126,10,0,0.0,336,210
2021-01-01,2021,1,Q1,SITE0069,LAB040,Southeast,Hospital,2024-01-01,0,,CrCys,3,548,116,0,664,8.56,26.9,32.8,4689.38,3120.43,0.0,7809.82,33732,5059,0,0.0,1871,1770,1416,1112,404,252,101,0.37,280,22,1,0.0,748,467
2021-01-01,2021,1,Q1,SITE0070,LAB046,Northeast,Clinic,2024-11-01,0,,CrCys,3,507,118,0,625,9.59,26.05,30.85,4862.77,3073.39,0.0,7936.15,16314,2447,0,0.0,905,856,685,538,195,122,48,0.37,135,10,0,0.0,362,226
2021-01-01,2021,1,Q1,SITE0071,LAB024,Northeast,Clinic,2024-11-01,0,,Cr,4,536,0,0,536,9.36,25.87,32.08,5018.98,0.0,0.0,5018.98,28954,4343,0,0.0,1606,1520,1216,955,347,217,86,0.37,240,19,0,0.0,642,401
2021-01-01,2021,1,Q1,SITE0072,LAB050,West,Clinic,2023-09-01,0,,Cys,4,503,86,0,589,8.56,24.49,28.66,4305.69,2105.73,0.0,6411.42,26508,3976,0,0.0,1471,1391,1113,874,318,198,79,0.37,220,17,0,0.0,588,367
2021-01-01,2021,1,Q1,SITE0073,LAB032,West,Clinic,2024-06-01,0,,CrCys,3,554,100,0,654,8.26,28.15,32.45,4575.16,2814.8,0.0,7389.95,26969,4045,0,0.0,1496,1415,1132,889,323,202,80,0.37,224,17,0,0.0,598,374
2021-01-01,2021,1,Q1,SITE0074,LAB047,Southeast,Hospital,2021-11-01,0,,CrCys,3,521,105,0,626,9.02,24.65,33.77,4701.27,2588.75,0.0,7290.02,42545,6381,0,0.0,2360,2233,1786,1403,510,319,127,0.37,354,28,0,0.0,944,590
2021-01-01,2021,1,Q1,SITE0075,LAB022,Southwest,Clinic,2022-01-01,0,,CrCys,1,531,109,0,640,8.77,22.49,32.8,4654.97,2451.67,0.0,7106.64,41668,6250,0,0.0,2312,2187,1750,1375,500,312,125,0.37,346,27,0,0.0,924,578
2021-01-01,2021,1,Q1,SITE0076,LAB023,West,Hospital,2024-02-01,0,,CrCys,2,562,94,0,656,8.16,21.7,31.9,4584.34,2039.71,0.0,6624.05,28061,4209,0,0.0,1557,1473,1178,925,336,210,84,0.37,233,18,5,0.0,622,389
2021-01-01,2021,1,Q1,SITE0077,LAB002,Southwest,Clinic,2022-01-01,0,,Cys,1,535,96,0,631,8.27,25.69,32.15,4422.39,2466.53,0.0,6888.92,18716,2807,0,0.0,1038,982,785,617,224,140,56,0.37,155,12,0,0.0,415,259
2021-01-01,2021,1,Q1,SITE0078,LAB027,Midwest,Clinic,2024-03-01,0,,CrCys,3,514,103,0,617,7.86,28.0,33.7,4039.27,2884.16,0.0,6923.43,44749,6712,0,0.0,2483,2349,1879,1476,536,335,134,0.37,372,29,0,0.0,993,620
2021-01-01,2021,1,Q1,SITE0079,LAB042,Northeast,Reference Lab,2022-08-01,0,,CrCys,5,500,117,0,617,8.34,29.15,34.06,4169.59,3410.96,0.0,7580.55,44144,6621,0,0.0,2449,2317,1853,1456,529,331,132,0.37,367,29,0,0.0,979,612
2021-01-01,2021,1,Q1,SITE0080,LAB002,Southwest,Hospital,2022-01-01,0,,Cys,1,504,98,0,602,8.62,26.46,32.1,4344.17,2592.62,0.0,6936.79,21907,3286,0,0.0,1215,1150,920,722,262,164,65,0.37,182,14,0,0.0,486,303
2021-01-01,2021,1,Q1,SITE0081,LAB026,Midwest,Hospital,2022-02-01,0,,CrCys,2,494,105,0,599,8.41,25.9,32.28,4152.07,2719.16,0.0,6871.23,23777,3566,0,0.0,1319,1248,998,784,285,178,71,0.37,197,15,5,0.0,527,329
2021-01-01,2021,1,Q1,SITE0082,LAB017,West,Hospital,2021-06-01,0,,CrCys,4,512,95,0,607,8.73,23.75,35.83,4467.85,2256.48,0.0,6724.33,32693,4903,0,0.0,1814,1716,1372,1078,392,245,98,0.37,272,21,9,0.0,725,453
2021-01-01,2021,1,Q1,SITE0083,LAB040,Southeast,Clinic,2024-01-01,0,,CrCys,3,568,110,0,678,7.96,26.34,30.46,4522.23,2897.05,0.0,7419.28,47928,7189,0,0.0,2659,2516,2012,1581,575,359,143,0.37,398,31,0,0.0,1063,664
2021-01-01,2021,1,Q1,SITE0084,LAB033,West,Clinic,2021-08-01,0,,Cr,1,519,0,0,519,8.65,25.68,34.87,4488.48,0.0,0.0,4488.48,31329,4699,0,0.0,1738,1644,1315,1033,375,234,93,0.37,260,20,0,0.0,695,434
2021-01-01,2021,1,Q1,SITE0085,LAB009,Midwest,Hospital,2024-03-01,0,,Cys,1,542,110,0,652,7.66,23.13,33.44,4150.42,2544.58,0.0,6695.0,21282,3192,0,0.0,1181,1117,893,702,255,159,63,0.37,177,14,0,0.0,472,295
2021-01-01,2021,1,Q1,SITE0086,LAB043,West,Hospital,2024-05-01,0,,CrCys,4,549,106,0,655,8.82,22.81,29.12,4840.92,2417.59,0.0,7258.51,28624,4293,0,0.0,1588,1502,1202,944,343,214,85,0.37,238,19,0,0.0,635,397
2021-01-01,2021,1,Q1,SITE0087,LAB048,Southwest,Clinic,2023-01-01,0,,Cr,1,538,0,0,538,7.72,24.39,29.41,4155.32,0.0,0.0,4155.32,28321,4248,0,0.0,1571,1486,1189,934,339,212,84,0.37,235,18,0,0.0,628,392
2021-01-01,2021,1,Q1,SITE0088,LAB039,Northeast,Hospital,2024-01-01,0,,CrCys,1,483,110,0,593,8.2,20.5,30.63,3960.36,2255.2,0.0,6215.56,15488,2323,0,0.0,859,813,650,511,185,116,46,0.37,128,10,2,0.0,343,214
2021-01-01,2021,1,Q1,SITE0089,LAB029,West,Reference Lab,2023-05-01,0,,CrCys,5,514,106,0,620,9.22,21.35,33.36,4740.46,2263.3,0.0,7003.76,27574,4136,0,0.0,1530,1447,1158,909,330,206,82,0.37,229,18,0,0.0,612,382
2021-01-01,2021,1,Q1,SITE0090,LAB042,Northeast,Clinic,2022-08-01,0,,CrCys,5,559,124,0,683,8.79,24.62,33.11,4912.34,3053.15,0.0,7965.5,10240,1536,0,0.0,568,537,430,337,122,76,30,0.37,85,6,0,0.0,227,142
2021-01-01,2021,1,Q1,SITE0091,LAB026,Midwest,Hospital,2022-02-01,0,,CrCys,2,490,99,0,589,8.06,23.03,28.18,3951.71,2280.11,0.0,6231.82,48221,7233,0,0.0,2676,2531,2025,1591,578,361,144,0.37,401,32,0,0.0,1070,669
2021-01-01,2021,1,Q1,SITE0092,LAB035,Midwest,Hospital,2022-07-01,0,,CrCys,2,540,102,0,642,8.7,26.1,30.06,4697.15,2662.21,0.0,7359.36,15478,2321,0,0.0,858,812,649,510,185,116,46,0.37,128,10,0,0.0,343,214
2021-01-01,2021,1,Q1,SITE0093,LAB050,West,Reference Lab,2023-09-01,0,,Cys,4,527,104,0,631,8.58,23.13,30.84,4521.79,2405.06,0.0,6926.84,24262,3639,0,0.0,1346,1273,1018,800,291,181,72,0.37,201,16,0,0.0,538,336
2021-01-01,2021,1,Q1,SITE0094,LAB025,Northeast,Hospital,2024-10-01,0,,Cr,4,534,0,0,534,8.53,27.41,32.77,4556.0,0.0,0.0,4556.0,9432,1414,0,0.0,523,494,395,311,113,70,28,0.37,78,6,6,0.0,209,130
2021-01-01,2021,1,Q1,SITE0095,LAB024,Northeast,Hospital,2024-11-01,0,,Cr,4,506,0,0,506,8.9,23.88,35.64,4504.13,0.0,0.0,4504.13,34721,5208,0,0.0,1926,1822,1458,1145,416,260,104,0.37,288,23,0,0.0,770,481
2021-01-01,2021,1,Q1,SITE0096,LAB013,Southwest,Reference Lab,2024-09-01,0,,Cys,5,533,108,0,641,8.09,26.27,32.83,4309.79,2836.9,0.0,7146.68,18568,2785,0,0.0,1030,974,779,612,222,139,55,0.37,154,12,0,0.0,412,257
