Date,Site_ID,Site_Name,Lab_ID,Region,State,Counties,Site_Type,Adoption_Date,Post_Adoption,Months_Since_Adoption,Assay_Menu,Communication_Intensity,Cr_Volume,Cys_Volume,CrCys_Volume,Total_Test_Volume,Cr_Price,Cys_Price,CrCys_Price,Cr_Revenue,Cys_Revenue,CrCys_Revenue,Total_Revenue,Lives_Covered,Total_Patients,Black_Patients,NonBlack_Patients,Reclassified_Patients,Reclassification_Rate,Black_Population_Pct,Hispanic_Population_Pct,White_Population_Pct,Asian_Population_Pct,CKD_Patients,G1_Patients,G2_Patients,G3a_Patients,G3b_Patients,G4_Patients,G5_Patients,CKD_Prevalence,Baseline_CKD_Prevalence,Nephrology_Referrals,Dialysis_Initiations,Trial_Enrollment,Eligibility_Shift_Pct,Renally_Adjusted_Rx,Nephroprotective_Rx,Avg_Creatinine_NonBlack,Avg_Creatinine_Black,eGFR_2021_RaceFree,eGFR_2009_Black,eGFR_2009_NonBlack,Referral_Prob_2021,Referral_Prob_2009_Black,Referral_Prob_2009_NonBlack,Eligible_Transplant_2021,Eligible_Transplant_2009_Black,Eligible_Transplant_2009_NonBlack,Waitlist_Delay_Months_2021,Waitlist_Delay_Months_2009_Black,Waitlist_Delay_Months_2009_NonBlack,Referral_Disparity_Black,Transplant_Delay_Disparity,Eligibility_Gap_Black
2021-01-01,MI_SITE0011,Detroit Metro - Site 11,MI_LAB002,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Hospital,2022-07-01,0,,Cys,1,557,93,0,650,9.42,26.1,32.72,5244.45,2427.52,0.0,7671.97,114135,17120,3303,13817,0,0.0,0.1929,0.0682,0.637,0.0353,2099,5992,4793,1259,524,251,62,0.1226,0.1226,314,0,0,0.0,839,524,1.43,1.6,43.1,49.9,43.1,0.001,0.0001,0.001,0,0,0,11.5,15.0,11.5,-0.0009,3.4,0
2021-01-01,MI_SITE0012,Detroit Metro - Site 12,MI_LAB002,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Clinic,2022-07-01,0,,Cys,1,492,104,0,596,9.0,23.98,30.98,4425.81,2494.04,0.0,6919.85,129922,19488,3767,15721,0,0.0,0.1933,0.064,0.6336,0.0576,2880,6820,5456,1728,720,345,86,0.1478,0.1478,432,0,0,0.0,1152,720,1.47,1.65,55.8,64.7,55.8,0.0,0.0,0.0,0,0,0,17.9,22.4,17.9,-0.0,4.4,0
2021-01-01,MI_SITE0013,Detroit Metro - Site 13,MI_LAB002,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Clinic,2022-07-01,0,,Cys,1,503,114,0,617,8.69,22.4,29.0,4373.26,2553.72,0.0,6926.98,146174,21926,5079,16847,0,0.0,0.2317,0.061,0.6382,0.0743,2899,7674,6139,1739,724,347,86,0.1322,0.1322,434,0,0,0.0,1159,724,1.78,1.99,55.9,64.8,55.9,0.0,0.0,0.0,0,0,0,18.0,22.4,18.0,-0.0,4.4,0
2021-01-01,MI_SITE0014,Detroit Metro - Site 14,MI_LAB001,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Hospital,2022-03-01,0,,CrCys,3,507,98,0,605,8.68,25.92,33.17,4401.32,2539.7,0.0,6941.02,116960,17544,3657,13887,0,0.0,0.2085,0.0571,0.6404,0.0604,2646,6140,4912,1587,661,317,79,0.1508,0.1508,396,0,0,0.0,1058,661,1.59,1.78,89.6,103.8,89.6,0.0,0.0,0.0,0,0,0,34.8,41.9,34.8,-0.0,7.1,0
2021-01-01,MI_SITE0015,Detroit Metro - Site 15,MI_LAB001,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Reference Lab,2022-03-01,0,,CrCys,3,541,102,0,643,8.3,26.22,31.42,4489.72,2674.71,0.0,7164.44,100446,15066,3376,11690,0,0.0,0.2241,0.0763,0.6385,0.0584,1917,5273,4218,1150,479,230,57,0.1273,0.1273,287,0,0,0.0,766,479,1.6,1.79,88.7,102.8,88.7,0.0,0.0,0.0,0,0,0,34.3,41.4,34.3,-0.0,7.0,0
2021-01-01,MI_SITE0016,Detroit Metro - Site 16,MI_LAB002,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Clinic,2022-07-01,0,,Cys,1,511,111,0,622,8.51,28.57,31.82,4350.3,3171.4,0.0,7521.7,140967,21145,4255,16890,0,0.0,0.2013,0.0757,0.6156,0.0479,3242,7400,5920,1945,810,389,97,0.1533,0.1533,486,0,0,0.0,1296,810,2.02,2.26,52.1,60.4,52.1,0.0001,0.0,0.0001,0,0,0,16.0,20.2,16.0,-0.0001,4.1,0
2021-01-01,MI_SITE0017,Detroit Metro - Site 17,MI_LAB001,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Clinic,2022-03-01,0,,CrCys,3,527,109,0,636,8.39,26.23,34.72,4419.07,2859.21,0.0,7278.28,111774,16766,3786,12980,0,0.0,0.2259,0.0564,0.6321,0.0701,2566,5868,4694,1539,641,307,76,0.153,0.153,384,0,0,0.0,1026,641,1.19,1.33,44.0,51.0,44.0,0.0007,0.0001,0.0007,0,0,0,12.0,15.5,12.0,-0.0007,3.5,0
2021-01-01,MI_SITE0018,Detroit Metro - Site 18,MI_LAB001,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Hospital,2022-03-01,0,,CrCys,3,535,101,0,636,7.8,26.06,35.96,4174.6,2631.87,0.0,6806.47,107493,16123,3220,12903,0,0.0,0.1998,0.0756,0.6573,0.0504,2099,5643,4514,1259,524,251,62,0.1302,0.1302,314,0,0,0.0,839,524,1.54,1.73,45.0,52.1,45.0,0.0006,0.0001,0.0006,0,0,0,12.5,16.1,12.5,-0.0005,3.6,0
2021-01-01,MI_SITE0019,Detroit Metro - Site 19,MI_LAB001,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Clinic,2022-03-01,0,,CrCys,3,527,92,0,619,9.78,25.15,34.86,5156.18,2314.06,0.0,7470.24,138425,20763,5264,15499,0,0.0,0.2536,0.0598,0.6569,0.0696,2499,7267,5813,1499,624,299,74,0.1204,0.1204,374,0,0,0.0,999,624,1.07,1.2,64.5,74.8,64.5,0.0,0.0,0.0,0,0,0,22.3,27.4,22.3,-0.0,5.1,0
2021-01-01,MI_SITE0020,Detroit Metro - Site 20,MI_LAB002,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Hospital,2022-07-01,0,,Cys,1,551,91,0,642,8.49,22.41,28.34,4677.64,2039.48,0.0,6717.12,101526,15228,3557,11671,0,0.0,0.2336,0.0731,0.6142,0.0516,2292,5329,4263,1375,573,275,68,0.1506,0.1506,343,0,8,0.0,916,573,1.51,1.69,69.0,79.9,69.0,0.0,0.0,0.0,0,0,0,24.5,30.0,24.5,-0.0,5.5,0
2021-01-01,MI_SITE0021,Detroit Metro - Site 21,MI_LAB002,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Clinic,2022-07-01,0,,Cys,1,555,115,0,670,8.66,25.49,30.19,4804.54,2930.89,0.0,7735.44,117210,17581,3972,13609,0,0.0,0.226,0.0752,0.6276,0.0474,2106,6153,4922,1263,526,252,63,0.1198,0.1198,315,0,0,0.0,842,526,1.63,1.83,58.8,68.1,58.8,0.0,0.0,0.0,0,0,0,19.4,24.1,19.4,-0.0,4.7,0
2021-01-01,MI_SITE0022,Detroit Metro - Site 22,MI_LAB002,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Clinic,2022-07-01,0,,Cys,1,536,115,0,651,9.36,26.07,35.57,5018.85,2998.28,0.0,8017.13,140113,21016,4369,16647,0,0.0,0.2079,0.0751,0.6582,0.0633,3226,7355,5884,1935,806,387,96,0.1535,0.1535,483,0,0,0.0,1290,806,1.4,1.57,56.8,65.9,56.8,0.0,0.0,0.0,0,0,0,18.4,22.9,18.4,-0.0,4.5,0
2021-01-01,MI_SITE0023,Detroit Metro - Site 23,MI_LAB002,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Clinic,2022-07-01,0,,Cys,1,545,108,0,653,9.24,25.77,28.24,5037.38,2783.69,0.0,7821.07,143582,21537,5106,16431,0,0.0,0.2371,0.0776,0.6278,0.051,2633,7537,6030,1580,658,316,79,0.1223,0.1223,394,0,0,0.0,1053,658,1.34,1.5,61.1,70.9,61.1,0.0,0.0,0.0,0,0,0,20.6,25.4,20.6,-0.0,4.9,0
2021-01-01,MI_SITE0024,Detroit Metro - Site 24,MI_LAB002,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Hospital,2022-07-01,0,,Cys,1,530,84,0,614,9.11,24.36,31.77,4830.67,2046.28,0.0,6876.95,129606,19440,4683,14757,0,0.0,0.2409,0.064,0.6376,0.0553,2602,6804,5443,1561,650,312,78,0.1339,0.1339,390,0,0,0.0,1040,650,0.65,0.73,79.5,92.2,79.5,0.0,0.0,0.0,0,0,0,29.8,36.1,29.8,-0.0,6.3,0
2021-01-01,MI_SITE0025,Detroit Metro - Site 25,MI_LAB002,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Hospital,2022-07-01,0,,Cys,1,525,96,0,621,8.97,25.84,35.26,4711.56,2480.37,0.0,7191.93,125616,18842,3980,14862,0,0.0,0.2113,0.0652,0.6143,0.0586,2535,6594,5275,1521,633,304,76,0.1346,0.1346,380,0,0,0.0,1014,633,1.32,1.47,82.5,95.6,82.5,0.0,0.0,0.0,0,0,0,31.2,37.8,31.2,-0.0,6.6,0
2021-01-01,MI_SITE0026,Detroit Metro - Site 26,MI_LAB002,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Clinic,2022-07-01,0,,Cys,1,536,105,0,641,7.91,21.6,33.62,4242.11,2267.83,0.0,6509.94,146872,22030,5338,16692,0,0.0,0.2423,0.067,0.6384,0.0505,2609,7710,6168,1565,652,313,78,0.1184,0.1184,391,0,0,0.0,1043,652,1.66,1.86,58.2,67.4,58.2,0.0,0.0,0.0,0,0,0,19.1,23.7,19.1,-0.0,4.6,0
2021-01-01,MI_SITE0027,Detroit Metro - Site 27,MI_LAB002,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Clinic,2022-07-01,0,,Cys,1,514,113,0,627,9.04,27.41,31.74,4646.05,3097.54,0.0,7743.59,138825,20823,5011,15812,0,0.0,0.2407,0.0603,0.6674,0.0738,2785,7288,5830,1671,696,334,83,0.1338,0.1338,417,0,0,0.0,1114,696,1.33,1.49,51.0,59.1,51.0,0.0001,0.0,0.0001,0,0,0,15.5,19.5,15.5,-0.0001,4.1,0
2021-01-01,MI_SITE0028,Detroit Metro - Site 28,MI_LAB001,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Clinic,2022-03-01,0,,CrCys,3,498,107,0,605,8.06,25.18,34.2,4015.07,2693.81,0.0,6708.88,107414,16112,3791,12321,0,0.0,0.2353,0.0757,0.6241,0.0756,2347,5639,4511,1408,586,281,70,0.1457,0.1457,352,0,0,0.0,938,586,0.68,0.76,70.3,81.4,70.3,0.0,0.0,0.0,0,0,0,25.1,30.7,25.1,-0.0,5.6,0
2021-01-01,MI_SITE0029,Detroit Metro - Site 29,MI_LAB001,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Clinic,2022-03-01,0,,CrCys,3,526,101,0,627,8.95,29.69,31.38,4707.92,2998.4,0.0,7706.32,107390,16108,3348,12760,0,0.0,0.2079,0.0668,0.633,0.0584,2334,5637,4510,1400,583,280,70,0.1449,0.1449,350,0,0,0.0,933,583,1.31,1.46,63.7,73.8,63.7,0.0,0.0,0.0,0,0,0,21.9,26.9,21.9,-0.0,5.1,0
2021-01-01,MI_SITE0030,Detroit Metro - Site 30,MI_LAB002,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Reference Lab,2022-07-01,0,,Cys,1,490,99,0,589,9.16,25.98,30.74,4486.72,2571.73,0.0,7058.45,108378,16256,3668,12588,0,0.0,0.2257,0.0698,0.6338,0.0591,2623,5689,4551,1574,655,314,78,0.1614,0.1614,393,0,0,0.0,1049,655,1.43,1.6,57.7,66.9,57.7,0.0,0.0,0.0,0,0,0,18.8,23.4,18.8,-0.0,4.6,0
2021-01-01,MI_SITE0031,Detroit Metro - Site 31,MI_LAB001,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Reference Lab,2022-03-01,0,,CrCys,3,501,109,0,610,7.51,25.72,33.13,3762.59,2803.67,0.0,6566.26,100980,15147,3378,11769,0,0.0,0.2231,0.0734,0.6382,0.0505,2236,5301,4241,1341,559,268,67,0.1476,0.1476,335,0,0,0.0,894,559,1.42,1.59,59.3,68.8,59.3,0.0,0.0,0.0,0,0,0,19.7,24.4,19.7,-0.0,4.7,0
2021-01-01,MI_SITE0032,Detroit Metro - Site 32,MI_LAB002,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Hospital,2022-07-01,0,,Cys,1,526,108,0,634,8.49,22.81,33.23,4465.99,2463.25,0.0,6929.23,118941,17841,4337,13504,0,0.0,0.2431,0.0702,0.6527,0.0486,2378,6244,4995,1427,594,285,71,0.1333,0.1333,356,0,6,0.0,951,594,1.03,1.16,61.6,71.4,61.6,0.0,0.0,0.0,0,0,0,20.8,25.7,20.8,-0.0,4.9,0
2021-01-01,MI_SITE0033,Detroit Metro - Site 33,MI_LAB001,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Clinic,2022-03-01,0,,CrCys,3,529,92,0,621,8.81,24.78,30.67,4659.99,2279.32,0.0,6939.32,130763,19614,3910,15704,0,0.0,0.1994,0.0756,0.6471,0.0779,2836,6864,5491,1701,709,340,85,0.1446,0.1446,425,0,0,0.0,1134,709,1.1,1.23,17.7,20.5,17.7,0.6643,0.4593,0.6643,1,0,1,0.0,0.3,0.0,-0.205,0.3,-1
2021-01-01,MI_SITE0034,Detroit Metro - Site 34,MI_LAB001,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Reference Lab,2022-03-01,0,,CrCys,3,508,103,0,611,8.84,29.27,30.86,4488.59,3014.93,0.0,7503.52,133779,20066,4354,15712,0,0.0,0.217,0.0806,0.6339,0.0633,2792,7023,5618,1675,698,335,83,0.1392,0.1392,418,0,0,0.0,1116,698,1.05,1.17,79.9,92.6,79.9,0.0,0.0,0.0,0,0,0,30.0,36.3,30.0,-0.0,6.4,0
2021-01-01,MI_SITE0035,Detroit Metro - Site 35,MI_LAB002,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Clinic,2022-07-01,0,,Cys,1,507,90,0,597,8.52,25.85,30.33,4321.32,2326.88,0.0,6648.21,109246,16386,3971,12415,0,0.0,0.2424,0.0852,0.6662,0.0413,2378,5735,4588,1426,594,285,71,0.1451,0.1451,356,0,0,0.0,951,594,1.44,1.61,39.5,45.8,39.5,0.0029,0.0004,0.0029,0,0,0,9.8,12.9,9.8,-0.0024,3.1,0
2021-01-01,MI_SITE0036,Ann Arbor - Washtenaw - Site 1,MI_LAB003,Ann Arbor - Washtenaw,Michigan,Washtenaw,Reference Lab,2021-10-01,0,,CrCys,5,520,108,0,628,8.8,27.5,35.41,4576.24,2970.03,0.0,7546.27,36641,5496,573,4923,0,0.0,0.1044,0.0551,0.7362,0.09,660,1923,1538,396,165,79,19,0.1202,0.1202,99,0,0,0.0,264,165,1.08,1.21,49.5,57.4,49.5,0.0001,0.0,0.0001,0,0,0,14.8,18.7,14.8,-0.0001,3.9,0
2021-01-01,MI_SITE0037,Ann Arbor - Washtenaw - Site 2,MI_LAB003,Ann Arbor - Washtenaw,Michigan,Washtenaw,Clinic,2021-10-01,0,,CrCys,5,526,117,0,643,8.18,23.7,29.89,4302.85,2772.66,0.0,7075.51,29307,4396,617,3779,0,0.0,0.1405,0.0403,0.7582,0.0787,471,1538,1230,282,117,56,14,0.1072,0.1072,70,0,0,0.0,188,117,1.6,1.79,61.4,71.2,61.4,0.0,0.0,0.0,0,0,0,20.7,25.6,20.7,-0.0,4.9,0
2021-01-01,MI_SITE0038,Ann Arbor - Washtenaw - Site 3,MI_LAB003,Ann Arbor - Washtenaw,Michigan,Washtenaw,Clinic,2021-10-01,0,,CrCys,5,560,115,0,675,9.11,23.34,32.85,5100.62,2684.04,0.0,7784.66,26267,3940,480,3460,0,0.0,0.1219,0.0291,0.7433,0.0964,492,1379,1103,295,123,59,14,0.125,0.125,73,0,0,0.0,196,123,1.4,1.56,27.8,32.2,27.8,0.0876,0.0249,0.0876,0,0,0,3.9,6.1,3.9,-0.0628,2.2,0
2021-01-01,MI_SITE0039,Ann Arbor - Washtenaw - Site 4,MI_LAB003,Ann Arbor - Washtenaw,Michigan,Washtenaw,Hospital,2021-10-01,0,,CrCys,5,518,111,0,629,9.04,24.01,31.31,4683.59,2665.31,0.0,7348.91,33825,5073,571,4502,0,0.0,0.1126,0.0466,0.7064,0.0709,652,1775,1420,391,163,78,19,0.1287,0.1287,97,0,0,0.0,260,163,0.93,1.05,80.8,93.7,80.8,0.0,0.0,0.0,0,0,0,30.4,36.8,30.4,-0.0,6.4,0
2021-01-01,MI_SITE0040,Ann Arbor - Washtenaw - Site 5,MI_LAB003,Ann Arbor - Washtenaw,Michigan,Washtenaw,Hospital,2021-10-01,0,,CrCys,5,514,102,0,616,7.73,26.72,33.45,3975.72,2725.49,0.0,6701.2,29043,4356,448,3908,0,0.0,0.103,0.0485,0.7042,0.0864,561,1524,1219,336,140,67,16,0.1289,0.1289,84,0,0,0.0,224,140,1.28,1.43,91.3,105.9,91.3,0.0,0.0,0.0,0,0,0,35.7,42.9,35.7,-0.0,7.3,0
2021-01-01,MI_SITE0041,Ann Arbor - Washtenaw - Site 6,MI_LAB003,Ann Arbor - Washtenaw,Michigan,Washtenaw,Hospital,2021-10-01,0,,CrCys,5,500,107,0,607,8.94,24.59,31.43,4468.82,2631.21,0.0,7100.04,29336,4400,592,3808,0,0.0,0.1347,0.0376,0.6898,0.0996,475,1540,1232,285,118,57,14,0.1081,0.1081,71,0,0,0.0,190,118,0.99,1.11,26.5,30.7,26.5,0.1237,0.0383,0.1237,0,0,0,3.3,5.4,3.3,-0.0854,2.1,0
2021-01-01,MI_SITE0042,Ann Arbor - Washtenaw - Site 7,MI_LAB003,Ann Arbor - Washtenaw,Michigan,Washtenaw,Clinic,2021-10-01,0,,CrCys,5,520,111,0,631,7.82,25.91,31.87,4067.66,2875.97,0.0,6943.63,28511,4276,626,3650,0,0.0,0.1465,0.0502,0.7192,0.1001,482,1496,1197,289,120,57,14,0.1128,0.1128,72,0,0,0.0,192,120,1.3,1.46,79.2,91.8,79.2,0.0,0.0,0.0,0,0,0,29.6,35.9,29.6,-0.0,6.3,0
2021-01-01,MI_SITE0043,Ann Arbor - Washtenaw - Site 8,MI_LAB003,Ann Arbor - Washtenaw,Michigan,Washtenaw,Clinic,2021-10-01,0,,CrCys,5,549,78,0,627,7.61,24.24,33.7,4176.63,1890.84,0.0,6067.47,29589,4438,554,3884,0,0.0,0.1249,0.0567,0.7093,0.0786,462,1553,1242,277,115,55,13,0.1041,0.1041,69,0,0,0.0,184,115,0.86,0.97,42.0,48.7,42.0,0.0014,0.0002,0.0014,0,0,0,11.0,14.3,11.0,-0.0012,3.3,0
2021-01-01,MI_SITE0044,Ann Arbor - Washtenaw - Site 9,MI_LAB003,Ann Arbor - Washtenaw,Michigan,Washtenaw,Hospital,2021-10-01,0,,CrCys,5,544,120,0,664,8.18,24.83,30.81,4450.8,2979.67,0.0,7430.47,33260,4989,521,4468,0,0.0,0.1045,0.0553,0.7313,0.0859,515,1746,1396,309,128,61,15,0.1033,0.1033,77,0,0,0.0,206,128,1.33,1.49,83.8,97.2,83.8,0.0,0.0,0.0,0,0,0,31.9,38.6,31.9,-0.0,6.7,0
2021-01-01,MI_SITE0045,Ann Arbor - Washtenaw - Site 10,MI_LAB003,Ann Arbor - Washtenaw,Michigan,Washtenaw,Reference Lab,2021-10-01,0,,CrCys,5,509,101,0,610,8.94,26.32,30.95,4550.96,2658.73,0.0,7209.68,35477,5321,635,4686,0,0.0,0.1194,0.0414,0.7044,0.1002,678,1862,1489,406,169,81,20,0.1274,0.1274,101,0,0,0.0,271,169,1.42,1.59,80.9,93.8,80.9,0.0,0.0,0.0,0,0,0,30.5,36.9,30.5,-0.0,6.4,0
2021-01-01,MI_SITE0046,Ann Arbor - Washtenaw - Site 11,MI_LAB003,Ann Arbor - Washtenaw,Michigan,Washtenaw,Clinic,2021-10-01,0,,CrCys,5,550,138,0,688,8.4,24.79,30.61,4617.7,3421.55,0.0,8039.26,28797,4319,519,3800,0,0.0,0.1203,0.0551,0.7414,0.086,519,1511,1209,311,129,62,15,0.1203,0.1203,77,0,0,0.0,207,129,1.22,1.37,82.3,95.4,82.3,0.0,0.0,0.0,0,0,0,31.2,37.7,31.2,-0.0,6.5,0
